row,Bias and Discrimination v0.1.0 (x_org.owasp#aivss),Transparency and Explainability v0.1.0 (x_org.owasp#aivss),Accountability v0.1.0 (x_org.owasp#aivss),Societal Impact v0.1.0 (x_org.owasp#aivss),Ethical Implications v0.1.0 (x_org.owasp#aivss)
125,awareness,fully transparent,none,thorough assessment,low
126,rigorous testing,highly explainable,none,thorough assessment,low
127,fair and unbiased,limited explainability,none,thorough assessment,low
128,high risk,highly explainable,full accountability,some consideration,medium
129,awareness,limited explainability,full accountability,some consideration,medium
130,rigorous testing,black box,full accountability,some consideration,medium
131,high risk,fully transparent,accountability framework,some consideration,medium
132,awareness,highly explainable,accountability framework,some consideration,medium
133,rigorous testing,limited explainability,accountability framework,some consideration,medium
134,fair and unbiased,black box,accountability framework,some consideration,medium
135,awareness,fully transparent,some responsibility,some consideration,medium
136,rigorous testing,highly explainable,some responsibility,some consideration,medium
137,fair and unbiased,limited explainability,some responsibility,some consideration,medium
138,rigorous testing,fully transparent,none,some consideration,medium
139,fair and unbiased,highly explainable,none,some consideration,medium
140,high risk,fully transparent,full accountability,high risk,medium
141,awareness,highly explainable,full accountability,high risk,medium
142,rigorous testing,limited explainability,full accountability,high risk,medium
143,fair and unbiased,black box,full accountability,high risk,medium
144,awareness,fully transparent,accountability framework,high risk,medium
145,rigorous testing,highly explainable,accountability framework,high risk,medium
146,fair and unbiased,limited explainability,accountability framework,high risk,medium
147,rigorous testing,fully transparent,some responsibility,high risk,medium
148,fair and unbiased,highly explainable,some responsibility,high risk,medium
149,fair and unbiased,fully transparent,none,high risk,medium
150,high risk,black box,accountability framework,maximized positive impact,medium
151,high risk,limited explainability,some responsibility,maximized positive impact,medium
152,awareness,black box,some responsibility,maximized positive impact,medium
153,high risk,highly explainable,none,maximized positive impact,medium
154,awareness,limited explainability,none,maximized positive impact,medium
155,rigorous testing,black box,none,maximized positive impact,medium
156,high risk,black box,full accountability,thorough assessment,medium
157,high risk,limited explainability,accountability framework,thorough assessment,medium
158,awareness,black box,accountability framework,thorough assessment,medium
159,high risk,highly explainable,some responsibility,thorough assessment,medium
160,awareness,limited explainability,some responsibility,thorough assessment,medium
161,rigorous testing,black box,some responsibility,thorough assessment,medium
162,high risk,fully transparent,none,thorough assessment,medium
163,awareness,highly explainable,none,thorough assessment,medium
164,rigorous testing,limited explainability,none,thorough assessment,medium
165,fair and unbiased,black box,none,thorough assessment,medium
166,high risk,limited explainability,full accountability,some consideration,medium
167,awareness,black box,full accountability,some consideration,medium
168,high risk,highly explainable,accountability framework,some consideration,medium
169,awareness,limited explainability,accountability framework,some consideration,medium
170,rigorous testing,black box,accountability framework,some consideration,medium
171,high risk,fully transparent,some responsibility,some consideration,medium
172,awareness,highly explainable,some responsibility,some consideration,medium
173,rigorous testing,limited explainability,some responsibility,some consideration,medium
174,fair and unbiased,black box,some responsibility,some consideration,medium
175,awareness,fully transparent,none,some consideration,medium
176,rigorous testing,highly explainable,none,some consideration,medium
177,fair and unbiased,limited explainability,none,some consideration,medium
178,high risk,highly explainable,full accountability,high risk,medium
179,awareness,limited explainability,full accountability,high risk,medium
180,rigorous testing,black box,full accountability,high risk,medium
181,high risk,fully transparent,accountability framework,high risk,medium
182,awareness,highly explainable,accountability framework,high risk,medium
183,rigorous testing,limited explainability,accountability framework,high risk,medium
184,fair and unbiased,black box,accountability framework,high risk,medium
185,awareness,fully transparent,some responsibility,high risk,medium
186,rigorous testing,highly explainable,some responsibility,high risk,medium
187,fair and unbiased,limited explainability,some responsibility,high risk,medium
188,rigorous testing,fully transparent,none,high risk,medium
189,fair and unbiased,highly explainable,none,high risk,medium
190,high risk,black box,some responsibility,maximized positive impact,medium
191,high risk,limited explainability,none,maximized positive impact,medium
192,awareness,black box,none,maximized positive impact,high
193,high risk,black box,accountability framework,thorough assessment,high
194,high risk,limited explainability,some responsibility,thorough assessment,high
195,awareness,black box,some responsibility,thorough assessment,high
196,high risk,highly explainable,none,thorough assessment,high
197,awareness,limited explainability,none,thorough assessment,high
198,rigorous testing,black box,none,thorough assessment,high
199,high risk,black box,full accountability,some consideration,high
200,high risk,limited explainability,accountability framework,some consideration,high
201,awareness,black box,accountability framework,some consideration,high
202,high risk,highly explainable,some responsibility,some consideration,high
203,awareness,limited explainability,some responsibility,some consideration,high
204,rigorous testing,black box,some responsibility,some consideration,high
205,high risk,fully transparent,none,some consideration,high
206,awareness,highly explainable,none,some consideration,high
207,rigorous testing,limited explainability,none,some consideration,high
208,fair and unbiased,black box,none,some consideration,high
209,high risk,limited explainability,full accountability,high risk,high
210,awareness,black box,full accountability,high risk,high
211,high risk,highly explainable,accountability framework,high risk,high
212,awareness,limited explainability,accountability framework,high risk,high
213,rigorous testing,black box,accountability framework,high risk,high
214,high risk,fully transparent,some responsibility,high risk,high
215,awareness,highly explainable,some responsibility,high risk,high
216,rigorous testing,limited explainability,some responsibility,high risk,high
217,fair and unbiased,black box,some responsibility,high risk,high
218,awareness,fully transparent,none,high risk,high
219,rigorous testing,highly explainable,none,high risk,high
220,fair and unbiased,limited explainability,none,high risk,high
221,high risk,black box,none,maximized positive impact,high
222,high risk,black box,some responsibility,thorough assessment,high
223,high risk,limited explainability,none,thorough assessment,high
224,awareness,black box,none,thorough assessment,high
225,high risk,black box,accountability framework,some consideration,high
226,high risk,limited explainability,some responsibility,some consideration,high
227,awareness,black box,some responsibility,some consideration,high
228,high risk,highly explainable,none,some consideration,high
229,awareness,limited explainability,none,some consideration,high
230,rigorous testing,black box,none,some consideration,high
231,high risk,black box,full accountability,high risk,high
232,high risk,limited explainability,accountability framework,high risk,high
233,awareness,black box,accountability framework,high risk,high
234,high risk,highly explainable,some responsibility,high risk,high
235,awareness,limited explainability,some responsibility,high risk,high
236,rigorous testing,black box,some responsibility,high risk,high
237,high risk,fully transparent,none,high risk,high
238,awareness,highly explainable,none,high risk,high
239,rigorous testing,limited explainability,none,high risk,high
240,fair and unbiased,black box,none,high risk,high
241,high risk,black box,none,thorough assessment,high
242,high risk,black box,some responsibility,some consideration,high
243,high risk,limited explainability,none,some consideration,high
244,awareness,black box,none,some consideration,high
245,high risk,black box,accountability framework,high risk,high
246,high risk,limited explainability,some responsibility,high risk,high
247,awareness,black box,some responsibility,high risk,high
248,high risk,highly explainable,none,high risk,high
249,awareness,limited explainability,none,high risk,high
250,rigorous testing,black box,none,high risk,high
251,high risk,black box,none,some consideration,high
252,high risk,black box,some responsibility,high risk,high
253,high risk,limited explainability,none,high risk,high
254,awareness,black box,none,high risk,high
255,high risk,black box,none,high risk,high
